Passenger_ID,Sex,Age,Occupation,Frequent Flier
182,F,46,Service,No
183,M,35,Business,No
184,F,18,Doctor,No
185,F,5,Teaching,Yes
186,M,50,Business,No
187,M,83,Business,No
188,F,62,Teaching,No
189,F,78,Service,Yes
190,F,74,Doctor,Yes
191,M,63,Business,Yes
192,M,16,Teaching,Yes
193,F,69,Teaching,No
194,F,79,Teaching,No
195,M,65,Business,No
196,F,46,Doctor,No
197,M,10,Teaching,Yes
198,M,44,Business,No
199,F,20,Home Maker,No
200,M,54,Home Maker,Yes
201,F,12,Doctor,No
202,M,76,Home Maker,Yes
203,M,19,Service,Yes
204,M,7,Service,No
205,M,29,Business,No
206,M,44,Doctor,Yes
207,F,3,Doctor,No
208,F,45,Teaching,Yes
209,M,2,Teaching,Yes
210,M,32,Service,Yes
211,M,36,Business,No
212,M,8,Teaching,No
213,M,10,Teaching,No
214,M,67,Business,Yes
215,M,33,Home Maker,No
216,M,63,Service,No
217,M,54,Business,Yes
218,M,45,Doctor,Yes
219,M,43,Business,No
220,F,31,Home Maker,No
221,F,26,Home Maker,Yes
222,M,36,Doctor,No
223,M,5,Home Maker,No
224,F,62,Business,No
225,F,27,Home Maker,Yes
226,M,46,Service,No
227,M,58,Teaching,Yes
228,M,82,Teaching,Yes
229,F,24,Home Maker,No
230,F,77,Home Maker,No
231,F,11,Doctor,Yes
232,F,75,Doctor,Yes
233,M,17,Business,Yes
234,F,69,Home Maker,Yes
235,F,62,Teaching,No
236,M,15,Teaching,No
237,F,73,Service,Yes
238,F,52,Service,Yes
239,F,51,Business,Yes
240,F,15,Home Maker,No
241,F,21,Business,Yes
242,M,70,Teaching,No
243,M,53,Teaching,Yes
244,F,44,Doctor,Yes
245,M,48,Service,Yes
246,M,36,Teaching,Yes
247,M,25,Business,No
248,F,63,Service,No
249,F,30,Business,Yes
250,M,65,Service,No
251,F,43,Service,Yes
252,M,26,Teaching,No
253,F,68,Service,No
254,M,26,Business,No
255,F,29,Service,No
256,F,10,Home Maker,No
257,M,82,Home Maker,Yes
258,M,23,Service,No
259,M,78,Doctor,No
260,M,45,Teaching,Yes
261,F,8,Doctor,No
262,M,44,Service,No
263,F,3,Home Maker,Yes
264,F,79,Doctor,No
265,M,4,Home Maker,No
266,F,7,Service,Yes
267,M,79,Doctor,No
268,M,47,Home Maker,No
269,F,63,Doctor,No
270,M,59,Doctor,No
271,F,65,Home Maker,No
272,M,19,Business,Yes
273,M,1,Teaching,Yes
274,M,49,Service,No
275,F,12,Home Maker,Yes
276,M,20,Doctor,Yes
277,M,11,Business,No
278,M,25,Service,No
279,F,21,Business,Yes
280,M,44,Home Maker,Yes
281,F,52,Service,Yes
282,M,60,Service,No
283,M,58,Service,No
284,F,60,Doctor,Yes
285,F,32,Home Maker,Yes
286,F,44,Home Maker,Yes
287,F,40,Doctor,Yes
288,M,21,Doctor,No
289,M,67,Doctor,Yes
290,F,50,Service,Yes
291,F,28,Service,Yes
292,M,66,Home Maker,Yes
293,F,71,Business,No
294,F,66,Doctor,Yes
295,F,44,Doctor,No
296,M,72,Home Maker,No
297,M,78,Business,Yes
298,F,0,Home Maker,No
299,F,36,Business,No
300,F,13,Home Maker,Yes
301,F,73,Service,No
302,F,47,Home Maker,Yes
303,F,54,Teaching,Yes
304,F,64,Business,Yes
305,F,59,Service,No
306,F,8,Teaching,No
307,M,10,Doctor,No
308,F,12,Teaching,No
309,M,22,Home Maker,Yes
310,M,43,Service,Yes
311,M,13,Business,No
312,M,1,Business,No
313,M,65,Teaching,Yes
314,F,28,Home Maker,No
315,F,48,Home Maker,No
316,F,54,Home Maker,No
317,M,77,Business,Yes
318,F,79,Teaching,No
319,F,77,Home Maker,Yes
320,M,51,Teaching,No
321,M,8,Teaching,Yes
322,M,31,Teaching,No
323,M,67,Teaching,Yes
324,M,7,Doctor,Yes
325,M,21,Service,No
326,M,69,Business,Yes
327,F,0,Home Maker,Yes
328,F,22,Teaching,No
329,M,26,Teaching,No
330,M,11,Doctor,No
331,F,72,Teaching,No
332,F,56,Doctor,No
333,F,51,Doctor,Yes
334,M,2,Business,No
335,M,23,Doctor,No
336,M,26,Teaching,Yes
337,F,58,Doctor,No
338,F,31,Home Maker,No
339,F,22,Teaching,Yes
340,F,38,Service,No
341,M,52,Business,Yes
342,M,54,Doctor,Yes
343,F,0,Service,No
344,M,9,Service,No
345,M,46,Teaching,Yes
346,M,33,Doctor,No
347,F,79,Home Maker,No
348,M,41,Teaching,No
349,M,13,Home Maker,No
350,F,17,Teaching,Yes
351,F,12,Service,No
352,M,31,Teaching,No
353,F,44,Doctor,Yes
354,M,28,Teaching,Yes
355,M,36,Home Maker,No
356,M,9,Teaching,No
357,M,11,Business,No
358,M,18,Doctor,No
359,M,6,Teaching,Yes
360,M,17,Service,No
361,F,46,Business,No
362,M,2,Teaching,No
363,M,81,Teaching,Yes
364,M,22,Business,No
365,M,15,Teaching,No
366,M,14,Home Maker,Yes
367,M,1,Service,No
368,M,65,Home Maker,Yes
369,F,49,Business,No
370,M,75,Teaching,No
371,F,32,Doctor,Yes
372,F,33,Teaching,Yes
373,F,74,Home Maker,No
374,F,17,Teaching,Yes
375,M,80,Teaching,No
376,M,75,Service,No
377,F,4,Doctor,No
378,M,42,Doctor,Yes
379,F,78,Service,Yes
380,M,39,Home Maker,Yes
381,F,72,Doctor,Yes
382,M,6,Teaching,Yes
383,M,30,Service,No
384,M,63,Business,No
385,F,3,Teaching,Yes
386,M,19,Business,Yes
387,F,68,Service,Yes
388,F,79,Doctor,No
389,F,29,Home Maker,No
390,F,78,Business,Yes
391,F,23,Teaching,No
392,F,21,Teaching,Yes
393,F,42,Teaching,Yes
394,M,51,Home Maker,No
395,F,39,Teaching,No
396,F,9,Doctor,Yes
397,F,77,Home Maker,No
398,F,5,Service,No
399,M,12,Home Maker,Yes
400,M,71,Doctor,Yes
401,M,13,Home Maker,Yes
402,F,77,Service,Yes
403,F,29,Teaching,Yes
404,M,4,Teaching,No
405,M,39,Business,No
406,M,54,Business,No
407,M,48,Business,Yes
408,M,20,Teaching,Yes
409,M,12,Business,Yes
410,M,15,Doctor,Yes
411,M,1,Service,No
412,M,3,Teaching,Yes
413,F,74,Doctor,No
414,F,41,Business,Yes
415,M,34,Service,No
416,M,63,Home Maker,Yes
417,M,38,Service,No
418,M,43,Business,No
419,F,22,Doctor,No
420,M,63,Doctor,Yes
421,M,77,Home Maker,No
422,M,75,Service,No
423,M,29,Doctor,No
424,M,53,Service,Yes
425,F,72,Teaching,No
426,M,79,Teaching,No
427,M,67,Service,No
428,F,3,Teaching,Yes
429,M,59,Business,Yes
430,M,75,Home Maker,No
431,F,3,Home Maker,No
432,F,72,Service,Yes
433,F,11,Teaching,No
434,M,45,Service,Yes
435,F,25,Business,No
436,F,48,Service,Yes
437,F,67,Doctor,No
438,M,59,Service,Yes
439,M,37,Home Maker,Yes
440,M,47,Service,Yes
441,M,11,Doctor,Yes
442,F,11,Business,Yes
443,F,3,Teaching,No
444,M,49,Business,Yes
445,F,5,Service,No
446,M,45,Teaching,Yes
447,F,80,Business,No
448,F,55,Doctor,No
449,F,41,Teaching,No
450,F,36,Teaching,No
451,F,10,Teaching,Yes
452,M,81,Service,Yes
453,M,10,Business,Yes
454,M,68,Doctor,Yes
455,F,42,Home Maker,Yes
456,M,51,Service,No
457,F,44,Home Maker,Yes
458,F,68,Service,No
459,M,34,Home Maker,No
460,M,27,Home Maker,Yes
461,F,71,Service,No
462,F,73,Business,Yes
463,M,8,Business,No
464,M,26,Business,Yes
465,F,28,Business,Yes
466,F,56,Business,No
467,F,36,Business,Yes
468,M,24,Service,Yes
469,M,63,Doctor,Yes
470,M,17,Business,No
471,F,53,Service,Yes
472,M,72,Service,Yes
473,F,2,Business,Yes
474,F,62,Service,No
475,F,11,Doctor,Yes
476,M,80,Service,Yes
477,F,64,Home Maker,No
478,M,12,Service,Yes
479,M,70,Teaching,No
480,F,82,Business,No
481,M,52,Doctor,No
482,F,41,Doctor,No
483,M,6,Service,No
484,M,71,Business,Yes
485,M,20,Teaching,No
486,M,15,Business,Yes
487,F,13,Teaching,No
488,M,32,Home Maker,Yes
489,M,40,Doctor,No
490,F,81,Business,No
491,F,4,Teaching,Yes
492,M,56,Service,No
493,M,57,Home Maker,No
494,F,45,Business,No
495,F,27,Teaching,No
496,F,30,Home Maker,No
497,M,2,Home Maker,Yes
498,M,21,Teaching,Yes
499,M,69,Home Maker,Yes
500,F,21,Doctor,No
501,M,41,Business,No
502,M,23,Service,No
503,F,55,Business,No
504,F,63,Teaching,No
505,M,50,Service,Yes
506,F,65,Home Maker,Yes
507,M,45,Service,Yes
508,F,31,Service,No
509,F,4,Teaching,Yes
510,M,11,Doctor,Yes
511,M,37,Home Maker,No
512,F,74,Doctor,Yes
513,F,32,Teaching,No
514,M,79,Doctor,No
515,F,5,Doctor,Yes
516,F,13,Doctor,Yes
517,F,47,Home Maker,No
518,F,72,Service,Yes
519,M,34,Business,Yes
520,M,66,Home Maker,No
521,F,41,Business,Yes
522,F,49,Doctor,Yes
523,M,2,Teaching,Yes
524,F,82,Home Maker,Yes
525,F,25,Teaching,No
526,M,49,Service,Yes
527,F,19,Teaching,Yes
528,F,16,Service,Yes
529,F,51,Service,No
530,F,44,Home Maker,Yes
531,M,75,Business,Yes
532,F,59,Service,Yes
533,F,53,Teaching,Yes
534,F,76,Service,No
535,F,0,Business,Yes
536,F,59,Home Maker,No
537,F,80,Teaching,No
538,M,54,Doctor,No
539,M,53,Teaching,Yes
540,F,29,Home Maker,No
541,M,51,Teaching,No
542,M,77,Teaching,Yes
543,F,24,Service,No
544,M,44,Business,Yes
545,M,7,Doctor,Yes
546,F,27,Doctor,Yes
547,F,11,Home Maker,No
548,M,82,Business,Yes
549,F,6,Service,Yes
550,M,46,Home Maker,Yes
551,F,23,Business,Yes
552,F,18,Teaching,No
553,F,74,Service,No
554,F,73,Home Maker,Yes
555,F,6,Service,No
556,F,60,Teaching,No
557,F,42,Teaching,No
558,M,30,Home Maker,Yes
559,M,20,Business,Yes
560,F,5,Doctor,Yes
561,F,2,Business,Yes
562,F,43,Doctor,No
563,M,20,Home Maker,No
564,M,14,Teaching,No
565,F,0,Business,No
566,M,69,Teaching,No
567,F,57,Business,No
568,M,29,Business,No
569,F,26,Business,No
570,M,18,Teaching,No
571,M,61,Business,Yes
572,F,46,Business,Yes
573,M,15,Doctor,Yes
574,F,36,Service,Yes
575,M,30,Teaching,No
576,M,23,Service,Yes
577,F,81,Home Maker,No
578,F,62,Home Maker,No
579,M,2,Doctor,No
580,F,51,Service,Yes
581,M,72,Business,Yes
582,F,55,Doctor,Yes
583,M,77,Home Maker,No
584,F,75,Business,No
585,F,42,Business,No
586,M,38,Business,No
587,F,65,Home Maker,Yes
588,F,80,Business,No
589,M,32,Service,Yes
590,M,67,Home Maker,No
591,M,4,Home Maker,Yes
592,M,17,Business,No
593,M,73,Home Maker,Yes
594,F,81,Service,Yes
595,F,39,Business,Yes
596,M,42,Teaching,Yes
597,M,6,Doctor,Yes
598,M,24,Home Maker,No
599,F,76,Service,Yes
600,F,62,Doctor,Yes
601,M,39,Service,No
602,M,5,Teaching,Yes
603,M,17,Doctor,Yes
604,M,22,Home Maker,Yes
605,M,35,Teaching,Yes
606,F,64,Teaching,Yes
607,F,23,Business,Yes
608,M,17,Service,No
609,F,28,Service,No
610,F,42,Service,No
611,M,26,Business,No
612,F,56,Teaching,No
613,M,29,Business,No
614,M,52,Home Maker,Yes
615,F,60,Teaching,No
616,M,8,Service,Yes
617,F,74,Teaching,No
618,F,22,Home Maker,No
619,M,70,Home Maker,Yes
620,M,1,Teaching,No
621,M,71,Teaching,No
622,F,47,Business,Yes
623,M,22,Home Maker,No
624,F,6,Doctor,No
625,M,4,Teaching,No
626,M,52,Service,No
627,M,43,Service,No
628,M,37,Home Maker,Yes
629,F,55,Business,No
630,F,8,Business,Yes
631,M,36,Service,Yes
632,F,14,Home Maker,No
633,F,51,Doctor,Yes
634,F,79,Teaching,No
635,F,3,Business,No
636,M,38,Teaching,Yes
637,F,11,Doctor,Yes
638,F,34,Teaching,Yes
639,M,50,Home Maker,No
640,F,42,Home Maker,No
641,M,3,Service,No
642,F,83,Home Maker,No
643,F,78,Teaching,Yes
644,M,79,Service,No
645,M,3,Teaching,No
646,F,80,Teaching,Yes
647,F,45,Teaching,No
648,F,31,Doctor,No
649,F,40,Service,No
650,M,50,Teaching,No
651,F,35,Doctor,No
652,F,76,Teaching,Yes
653,M,64,Home Maker,No
654,F,67,Teaching,Yes
655,F,61,Home Maker,No
656,M,31,Business,Yes
657,F,50,Doctor,Yes
658,M,41,Service,Yes
659,F,22,Doctor,No
660,F,52,Service,No
661,M,32,Teaching,Yes
662,F,6,Service,No
663,F,42,Service,Yes
664,F,54,Teaching,Yes
665,M,49,Service,No
666,F,83,Home Maker,Yes
667,F,51,Home Maker,Yes
668,M,74,Home Maker,Yes
669,F,21,Teaching,No
670,M,40,Doctor,No
671,F,25,Service,No
672,M,39,Service,No
673,M,17,Home Maker,Yes
674,M,69,Service,No
675,F,32,Doctor,No
676,F,34,Home Maker,Yes
677,M,60,Doctor,No
678,M,11,Business,Yes
679,F,36,Doctor,No
680,F,8,Doctor,Yes
681,F,10,Teaching,Yes
682,M,6,Doctor,Yes
683,M,36,Service,Yes
684,M,75,Business,No
685,F,49,Business,No
686,M,73,Service,Yes
687,M,23,Service,No
688,M,66,Doctor,No
689,F,24,Service,Yes
690,M,9,Business,Yes
691,F,55,Home Maker,Yes
692,M,53,Home Maker,Yes
693,M,31,Teaching,Yes
694,F,54,Home Maker,Yes
695,M,32,Service,No
696,F,54,Doctor,Yes
697,M,74,Home Maker,Yes
698,F,65,Teaching,No
699,M,72,Teaching,No
700,F,19,Doctor,No
701,F,40,Service,Yes
702,M,48,Service,Yes
703,F,9,Business,Yes
704,F,60,Teaching,Yes
705,M,3,Teaching,Yes
706,F,6,Service,Yes
707,F,54,Doctor,No
708,M,30,Business,Yes
709,F,54,Teaching,No
710,F,62,Business,Yes
711,M,58,Doctor,Yes
712,M,60,Home Maker,No
713,F,50,Teaching,Yes
714,M,37,Home Maker,No
715,M,68,Home Maker,No
716,M,75,Business,No
717,F,4,Service,No
718,F,47,Home Maker,Yes
719,M,69,Service,No
720,F,26,Business,No
721,F,23,Service,No
722,F,68,Business,Yes
723,F,57,Business,No
724,F,61,Business,No
725,M,55,Service,No
726,M,37,Doctor,No
727,F,11,Business,No
728,F,13,Teaching,No
729,M,35,Teaching,Yes
730,M,1,Home Maker,No
731,F,18,Home Maker,Yes
732,M,75,Doctor,No
733,M,63,Doctor,No
734,F,75,Home Maker,No
735,M,3,Business,Yes
736,M,8,Service,No
737,M,2,Teaching,Yes
738,M,45,Business,No
739,F,81,Home Maker,No
740,F,6,Teaching,No
741,F,19,Business,No
742,F,74,Service,No
743,M,19,Doctor,Yes
744,M,56,Service,No
745,F,54,Service,No
746,M,36,Business,No
747,M,66,Teaching,Yes
748,M,23,Business,No
749,M,18,Home Maker,Yes
750,F,2,Home Maker,Yes
751,M,21,Business,Yes
752,M,75,Business,Yes
753,M,16,Teaching,No
754,M,8,Service,No
755,M,61,Home Maker,Yes
756,F,30,Teaching,Yes
757,M,28,Teaching,Yes
758,F,68,Business,Yes
759,F,38,Service,No
760,M,83,Doctor,Yes
761,F,25,Service,Yes
762,F,51,Business,No
763,F,54,Service,No
764,F,43,Teaching,Yes
765,M,34,Doctor,No
766,M,33,Home Maker,Yes
767,F,22,Home Maker,Yes
768,M,3,Doctor,No
769,F,8,Business,Yes
770,F,60,Teaching,No
771,F,62,Doctor,Yes
772,M,52,Doctor,Yes
773,F,31,Doctor,No
774,M,54,Doctor,Yes
775,F,38,Service,Yes
776,M,50,Home Maker,Yes
777,F,65,Home Maker,No
778,M,29,Home Maker,Yes
779,F,75,Service,Yes
780,M,35,Service,No
781,F,71,Doctor,Yes
782,M,0,Business,No
783,F,14,Teaching,Yes
784,F,8,Home Maker,Yes
785,F,26,Business,Yes
786,M,67,Doctor,Yes
787,M,79,Teaching,Yes
788,F,83,Business,No
789,M,58,Service,No
790,M,71,Business,No
791,F,12,Home Maker,No
792,M,10,Business,No
793,F,20,Teaching,Yes
794,F,52,Teaching,No
795,M,39,Service,No
796,F,31,Teaching,Yes
797,M,58,Business,No
798,F,7,Service,Yes
799,M,64,Teaching,No
800,F,1,Doctor,Yes
801,F,14,Service,Yes
802,F,50,Doctor,Yes
803,M,53,Teaching,Yes
804,M,28,Business,Yes
805,M,61,Service,Yes
806,M,2,Doctor,No
807,M,59,Business,Yes
808,M,73,Home Maker,Yes
809,F,74,Business,Yes
810,F,58,Teaching,No
811,F,52,Business,No
812,F,5,Home Maker,No
813,F,70,Doctor,Yes
814,F,65,Home Maker,Yes
815,F,65,Service,No
816,F,27,Doctor,Yes
817,F,56,Home Maker,Yes
818,M,2,Business,Yes
819,F,18,Home Maker,No
820,F,10,Business,Yes
821,F,29,Home Maker,No
822,F,76,Service,No
823,F,75,Doctor,Yes
824,M,67,Home Maker,No
825,M,19,Doctor,Yes
826,M,60,Teaching,Yes
827,M,0,Home Maker,Yes
828,F,2,Doctor,Yes
829,M,65,Teaching,Yes
830,F,14,Home Maker,No
831,F,19,Business,No
832,F,81,Business,Yes
833,F,24,Doctor,No
834,M,7,Business,Yes
835,F,3,Doctor,No
836,F,28,Home Maker,Yes
837,F,13,Business,Yes
838,F,2,Service,No
839,F,61,Service,No
840,F,55,Business,No
841,M,76,Home Maker,Yes
842,F,19,Business,Yes
843,F,60,Home Maker,Yes
844,F,83,Home Maker,No
845,M,4,Business,Yes
846,F,43,Teaching,Yes
847,F,35,Service,Yes
848,F,25,Teaching,Yes
849,F,77,Teaching,Yes
850,F,59,Home Maker,Yes
851,F,11,Home Maker,No
852,F,43,Doctor,Yes
853,M,9,Business,Yes
854,M,17,Doctor,Yes
855,F,9,Service,Yes
856,M,70,Teaching,Yes
857,M,0,Home Maker,No
858,M,0,Doctor,No
859,F,57,Doctor,No
860,F,66,Home Maker,No
861,M,39,Home Maker,Yes
862,M,40,Teaching,No
863,F,41,Business,No
864,M,17,Home Maker,No
865,M,78,Business,Yes
866,M,71,Teaching,No
867,F,73,Home Maker,No
868,M,59,Service,Yes
869,F,8,Doctor,Yes
870,M,55,Service,Yes
871,M,32,Teaching,No
872,M,28,Teaching,No
873,M,52,Teaching,Yes
874,M,59,Doctor,No
875,F,38,Doctor,No
876,F,56,Teaching,Yes
877,M,62,Service,No
878,F,46,Home Maker,Yes
879,M,15,Service,No
880,M,28,Business,Yes
881,F,50,Home Maker,Yes
882,F,26,Doctor,No
883,M,60,Teaching,No
884,M,20,Home Maker,Yes
885,M,73,Home Maker,No
886,F,48,Home Maker,No
887,F,21,Home Maker,Yes
888,F,58,Home Maker,No
889,M,48,Doctor,No
890,M,5,Service,Yes
891,F,41,Home Maker,No
892,F,71,Home Maker,Yes
893,M,14,Home Maker,No
894,F,29,Home Maker,Yes
895,M,26,Doctor,Yes
896,F,6,Home Maker,Yes
897,M,83,Doctor,Yes
898,F,63,Business,Yes
899,M,4,Service,Yes
900,F,4,Teaching,No
901,M,60,Home Maker,No
902,M,13,Business,Yes
903,M,54,Business,No
904,F,40,Service,No
905,F,20,Teaching,Yes
906,F,79,Doctor,No
907,M,69,Teaching,No
908,M,64,Doctor,No
909,F,78,Business,No
910,M,19,Teaching,Yes
911,F,30,Doctor,No
912,F,25,Service,Yes
913,M,2,Business,No
914,F,72,Doctor,Yes
915,M,13,Doctor,Yes
916,M,1,Business,No
917,M,20,Home Maker,No
918,F,18,Teaching,Yes
919,F,56,Teaching,No
920,F,23,Home Maker,Yes
921,F,82,Doctor,No
922,F,25,Teaching,Yes
923,M,32,Business,No
924,M,75,Service,Yes
925,F,26,Home Maker,Yes
926,F,3,Doctor,No
927,F,46,Service,No
928,F,31,Teaching,Yes
929,M,49,Teaching,No
930,F,67,Service,Yes
931,M,48,Doctor,No
932,M,45,Home Maker,No
933,M,72,Service,No
934,M,50,Teaching,No
935,M,60,Business,No
936,F,68,Teaching,Yes
937,M,40,Service,No
938,F,82,Teaching,No
939,M,43,Business,Yes
940,F,50,Home Maker,No
941,M,3,Teaching,No
942,M,81,Service,Yes
943,F,77,Doctor,No
944,M,61,Teaching,No
945,M,34,Service,Yes
946,F,80,Doctor,No
947,F,71,Business,Yes
948,M,25,Service,Yes
949,F,46,Home Maker,Yes
950,M,44,Service,Yes
951,M,76,Teaching,No
952,M,18,Home Maker,Yes
953,M,57,Home Maker,No
954,M,47,Teaching,Yes
955,F,7,Teaching,No
956,F,40,Teaching,No
957,M,37,Service,Yes
958,M,9,Doctor,Yes
959,M,18,Doctor,Yes
960,M,37,Teaching,Yes
961,M,76,Service,No
962,F,58,Service,Yes
963,M,50,Home Maker,No
964,F,22,Teaching,No
965,M,72,Teaching,No
966,F,7,Business,Yes
967,F,21,Teaching,Yes
968,F,75,Home Maker,No
969,F,72,Service,Yes
970,F,57,Doctor,No
971,M,59,Teaching,No
972,F,39,Service,No
973,M,51,Teaching,Yes
974,M,35,Service,No
975,M,11,Doctor,No
976,F,59,Business,No
977,F,39,Service,No
978,F,12,Teaching,Yes
979,M,17,Business,No
980,F,53,Home Maker,No
981,M,13,Service,No
982,M,62,Teaching,Yes
983,F,66,Service,No
984,M,61,Service,Yes
985,M,63,Business,No
986,F,58,Business,No
987,F,19,Home Maker,Yes
988,M,45,Teaching,Yes
989,F,78,Business,Yes
990,M,49,Doctor,Yes
991,M,44,Business,No
992,M,8,Teaching,Yes
993,M,57,Doctor,No
994,M,38,Service,No
995,M,6,Doctor,No
996,F,78,Home Maker,Yes
997,F,18,Home Maker,Yes
998,F,43,Doctor,No
999,F,59,Service,No
1000,M,61,Doctor,Yes
1001,M,4,Doctor,Yes
1002,F,46,Teaching,No
1003,F,13,Business,Yes
1004,M,69,Business,Yes
1005,M,70,Service,Yes
1006,F,5,Business,Yes
1007,M,39,Service,Yes
1008,F,36,Doctor,Yes
1009,M,33,Home Maker,Yes
1010,F,83,Teaching,No
1011,M,40,Teaching,Yes
1012,F,37,Service,No
1013,M,3,Doctor,No
1014,F,12,Service,No
1015,M,46,Service,Yes
1016,M,42,Doctor,No
1017,M,81,Doctor,Yes
1018,F,42,Service,Yes
1019,F,21,Business,Yes
1020,F,83,Teaching,Yes
1021,M,61,Teaching,Yes
1022,F,73,Doctor,Yes
1023,M,10,Business,No
1024,F,73,Doctor,No
1025,M,40,Doctor,No
1026,F,74,Doctor,Yes
1027,M,54,Doctor,Yes
1028,F,61,Home Maker,Yes
1029,F,35,Teaching,No
1030,M,5,Doctor,Yes
1031,F,35,Teaching,No
1032,F,24,Home Maker,No
1033,F,60,Home Maker,No
1034,F,68,Doctor,No
1035,F,44,Home Maker,No
1036,M,57,Home Maker,Yes
1037,F,58,Service,No
